id,latitude,longitude
10124,33.80722222,-87.11430556
10123,33.9075,-86.22886111
10122,33.72116667,-86.15727778
10121,33.94486111,-87.32952778
10120,33.63444444,-87.16941667
10119,33.119,-86.81363889
10118,33.53619444,-87.08522222
10117,33.90919444,-87.56288889
10116,33.80225,-86.83463889
10115,33.35916667,-86.48083333
10114,33.77094444,-86.44969444
10113,33.61375,-86.26238889
10112,33.31880556,-87.04419444
10111,33.20797222,-86.57794444
14261,30.25680556,-88.11519444
14260,31.28702778,-88.03055556
14258,30.61733333,-87.59105556
14257,31.299,-87.50238889
14256,31.2475,-88.09597222
38260,34.53611111,-87.72027778
38261,34.3975,-87.73777778
38262,34.5565,-87.12675
38263,34.65719444,-87.15852778
38264,34.73027778,-87.40691667
38265,34.48413889,-87.95991667
38266,34.51072222,-87.44480556
38267,34.43541667,-88.14263889
38268,34.40627778,-87.16302778
20396,30.83297222,-88.24166667
20398,30.34775,-87.62869444
20399,30.50463889,-88.22888889
20401,30.52158333,-87.48719444
20403,30.49630556,-88.35861111
20405,30.58894444,-87.56108333
20407,30.50047222,-87.90552778
20410,31.04516667,-88.02555556
9039,31.299,-87.50238889
9037,31.28702778,-88.03055556
9036,31.02777778,-87.24313889
9033,31.25219444,-88.30497222
9032,31.93858333,-87.73580556
9031,31.62691667,-87.20394444
9030,31.57533333,-87.88613889
9029,31.89541667,-87.78011111
9028,31.14047222,-87.04475
9027,31.09711111,-87.49241667
9026,31.2475,-88.09597222
9025,31.47641667,-86.93963889
20412,30.25694444,-88.11416667
20413,30.23738889,-87.867
45845,32.75847222,-85.47244444
45846,32.84902778,-85.76969444
45848,32.94916667,-85.9375
45850,32.78111111,-85.93469444
45852,33.64427778,-85.50188889
45853,33.07316667,-86.16830556
45855,33.67233333,-85.37077778
45856,32.89583333,-86.17027778
45857,33.45391667,-86.05869444
45858,33.16694444,-85.36102778
45859,33.09069444,-85.78116667
45860,33.32691667,-85.69183333
45861,33.34877778,-85.48216667
45862,32.71905556,-85.78630556
45863,33.72472222,-85.49444444
45864,32.92777778,-86.21
45865,32.71019444,-85.79066667
10195,34.19363889,-88.14588889
10025,33.75430556,-85.84522222
10024,33.58652778,-85.97575
10023,33.90761111,-85.61691667
10022,33.68094444,-85.81552778
10021,33.93261111,-85.90358333
9441,31.35702778,-87.07797222
9440,31.61275,-88.31191667
9439,31.79211111,-87.75947222
9438,31.25038889,-88.30533333
9437,31.72694444,-87.24388889
9436,31.31852778,-87.55216667
9435,31.46638889,-88.25555556
9434,31.57530556,-87.88647222
9433,31.67691667,-87.78558333
9432,31.11341667,-87.09927778
9431,31.29819444,-88.08102778
9430,31.89530556,-87.77991667
9429,31.10661111,-87.47102778
9428,31.45322222,-86.95841667
9427,31.54544444,-87.30061111
8881,33.91863889,-86.08316667
8880,33.93261111,-85.90358333
14255,30.41188889,-87.45066667
14254,30.80094444,-88.2925
14253,31.08463889,-88.26108333
14252,30.56263889,-88.32575
14251,30.43919444,-88.24705556
14250,30.64669444,-87.70613889
14249,31.03494444,-87.61666667
8879,34.0325,-86.07111111
25117,31.67713889,-85.61425
359,32.75041667,-85.27577778
358,32.93225,-85.39769444
27882,31.79238889,-85.97272222
27885,31.29988889,-86.51552778
27886,31.63072222,-86.79275
27889,31.04527778,-85.95916667
27890,31.70627778,-86.24136111
27896,31.94947222,-85.99980556
27897,31.94013889,-86.317
27898,31.34069444,-85.86733333
27899,31.69408333,-85.82605556
27900,31.54116667,-86.23733333
27901,31.31477778,-86.45991667
27902,31.11055556,-85.5825
27903,31.69408333,-85.82605556
27904,31.26816667,-86.22533333
27906,31.08986111,-86.16811111
27907,31.44797222,-86.61833333
27908,31.20361111,-86.44786111
27909,31.58083333,-86.84438889
28031,32.45777778,-86.49277778
28032,32.06333333,-86.03888889
28033,32.71138889,-85.97833333
28034,32.6225,-86.49166667
28035,32.56458333,-86.77108333
